Datum;Sommer
01.07.2013;1
02.07.2013;1
03.07.2013;1
04.07.2013;1
05.07.2013;1
06.07.2013;1
07.07.2013;1
08.07.2013;1
09.07.2013;1
10.07.2013;1
11.07.2013;1
12.07.2013;1
13.07.2013;1
14.07.2013;1
15.07.2013;1
16.07.2013;1
17.07.2013;1
18.07.2013;1
19.07.2013;1
20.07.2013;1
21.07.2013;1
22.07.2013;1
23.07.2013;1
24.07.2013;1
25.07.2013;1
26.07.2013;1
27.07.2013;1
28.07.2013;1
29.07.2013;1
30.07.2013;1
31.07.2013;1
01.08.2013;1
02.08.2013;1
03.08.2013;1
04.08.2013;1
05.08.2013;1
06.08.2013;1
07.08.2013;1
08.08.2013;1
09.08.2013;1
10.08.2013;1
11.08.2013;1
12.08.2013;1
13.08.2013;1
14.08.2013;1
15.08.2013;1
16.08.2013;1
17.08.2013;1
18.08.2013;1
19.08.2013;1
20.08.2013;1
21.08.2013;1
22.08.2013;1
23.08.2013;1
24.08.2013;1
25.08.2013;1
26.08.2013;1
27.08.2013;1
28.08.2013;1
29.08.2013;1
30.08.2013;1
31.08.2013;1
01.09.2013;1
02.09.2013;1
03.09.2013;1
04.09.2013;1
05.09.2013;1
06.09.2013;1
07.09.2013;1
08.09.2013;1
09.09.2013;1
10.09.2013;1
11.09.2013;1
12.09.2013;1
13.09.2013;1
14.09.2013;1
15.09.2013;1
16.09.2013;1
17.09.2013;1
18.09.2013;1
19.09.2013;1
20.09.2013;1
21.09.2013;1
21.06.2014;1
22.06.2014;1
23.06.2014;1
24.06.2014;1
25.06.2014;1
26.06.2014;1
27.06.2014;1
28.06.2014;1
29.06.2014;1
30.06.2014;1
01.07.2014;1
02.07.2014;1
03.07.2014;1
04.07.2014;1
05.07.2014;1
06.07.2014;1
07.07.2014;1
08.07.2014;1
09.07.2014;1
10.07.2014;1
11.07.2014;1
12.07.2014;1
13.07.2014;1
14.07.2014;1
15.07.2014;1
16.07.2014;1
17.07.2014;1
18.07.2014;1
19.07.2014;1
20.07.2014;1
21.07.2014;1
22.07.2014;1
23.07.2014;1
24.07.2014;1
25.07.2014;1
26.07.2014;1
27.07.2014;1
28.07.2014;1
29.07.2014;1
30.07.2014;1
31.07.2014;1
01.08.2014;1
02.08.2014;1
03.08.2014;1
04.08.2014;1
05.08.2014;1
06.08.2014;1
07.08.2014;1
08.08.2014;1
09.08.2014;1
10.08.2014;1
11.08.2014;1
12.08.2014;1
13.08.2014;1
14.08.2014;1
15.08.2014;1
16.08.2014;1
17.08.2014;1
18.08.2014;1
19.08.2014;1
20.08.2014;1
21.08.2014;1
22.08.2014;1
23.08.2014;1
24.08.2014;1
25.08.2014;1
26.08.2014;1
27.08.2014;1
28.08.2014;1
29.08.2014;1
30.08.2014;1
31.08.2014;1
01.09.2014;1
02.09.2014;1
03.09.2014;1
04.09.2014;1
05.09.2014;1
06.09.2014;1
07.09.2014;1
08.09.2014;1
09.09.2014;1
10.09.2014;1
11.09.2014;1
12.09.2014;1
13.09.2014;1
14.09.2014;1
15.09.2014;1
16.09.2014;1
17.09.2014;1
18.09.2014;1
19.09.2014;1
20.09.2014;1
21.09.2014;1
22.09.2014;1
21.06.2015;1
22.06.2015;1
23.06.2015;1
24.06.2015;1
25.06.2015;1
26.06.2015;1
27.06.2015;1
28.06.2015;1
29.06.2015;1
30.06.2015;1
01.07.2015;1
02.07.2015;1
03.07.2015;1
04.07.2015;1
05.07.2015;1
06.07.2015;1
07.07.2015;1
08.07.2015;1
09.07.2015;1
10.07.2015;1
11.07.2015;1
12.07.2015;1
13.07.2015;1
14.07.2015;1
15.07.2015;1
16.07.2015;1
17.07.2015;1
18.07.2015;1
19.07.2015;1
20.07.2015;1
21.07.2015;1
22.07.2015;1
23.07.2015;1
24.07.2015;1
25.07.2015;1
26.07.2015;1
27.07.2015;1
28.07.2015;1
29.07.2015;1
30.07.2015;1
31.07.2015;1
01.08.2015;1
02.08.2015;1
03.08.2015;1
04.08.2015;1
05.08.2015;1
06.08.2015;1
