Datum;Tmax;Tmittel;Tmin;Tminboden;Windmax_BF;Niederschlag;Sonnenstunden
2018-10-14;22.8;16.7;11.4;7.7;4;0;9383
2018-10-15;24;15.8;9.3;5.5;4;0;9367
2018-10-16;23;14.5;7.2;5.1;4;0;3900
2018-10-17;23.2;14.4;8.5;6.3;3;0;7717
2018-10-18;15.4;11.3;2.3;-2.2;4;0.1;2600
2018-10-19;13.5;6.4;1;-2.9;3;0;7633
2018-10-20;15.5;8.7;3.3;-0.3;5;0;2967
2018-10-21;16.6;10.4;3;0.3;4;0.8;2167
2018-10-22;13.3;10.4;5.5;1.4;6;0.1;5433
2018-10-23;12.5;11.1;8.8;7.3;7;4.5;0
2018-10-24;11.9;10.3;8.5;6.9;6;0.2;5033
2018-10-25;12.8;11.2;9.1;8;7;0.8;1
2018-10-26;12.6;9.2;6.9;6.3;5;5.5;0
2018-10-27;8.2;5.4;2.1;-0.1;6;1;1283
2018-10-28;7.5;3.3;-1.7;-4.8;5;0.7;1550
2018-10-29;6.9;5.5;4.2;2.8;6;0;0
2018-10-30;14.1;8;4.4;4.2;6;1.5;1233
2018-10-31;11.4;8.8;4.8;1.2;6;0;5133
2018-11-01;11.9;8.1;1.8;-0.4;3;0;3117
2018-11-02;13.8;8.4;0.6;-2.7;5;0;3283
2018-11-03;10.8;3.3;-2.2;-5.1;3;0;8167
2018-11-04;9.6;5.5;-3.1;-5.6;4;0;0
2018-11-05;11.2;9.2;4.8;3.2;4;0;0
2018-11-06;12.6;7.2;2.6;0.3;3;0;3300
2018-11-07;14.5;8.6;2;0.9;3;0;5433
2018-11-08;15;7.7;0.4;-1.7;4;0;3783
2018-11-09;12.1;6.8;-0.2;-0.7;4;0.5;1
2018-11-10;12.2;10.1;8;7.4;4;0.9;0
2018-11-11;14.1;11.9;10.4;9;4;2.9;1883
2018-11-12;12.7;10.9;9.4;6.6;4;2.6;0
2018-11-13;12.3;9.9;8.7;7.1;5;1.1;1
2018-11-14;9.9;8.4;5.6;2.3;5;0;0
2018-11-15;11.7;7.8;3.9;0.7;4;0;6083
2018-11-16;9.5;5.7;2.5;0;4;0;7300
2018-11-17;5.5;1.2;-3.9;-7.4;3;0;6867
2018-11-18;7.6;2;-5.3;-7.9;6;1.3;1033
2018-11-19;7.6;5.2;2.8;1.5;7;0;4317
2018-11-20;3.9;3.2;2.3;1.2;7;0;0
2018-11-21;2.3;1.1;-1.1;-2.5;5;0;0
2018-11-22;1.6;0.9;0.3;0.4;4;0;0
2018-11-23;2.3;1.3;0.5;0.5;3;0;0
2018-11-24;4.3;2.8;1.8;0.9;4;0;0
2018-11-25;5.5;3.5;0.4;-3.3;4;0;0
2018-11-26;5.4;2;-2.6;-6.2;4;0;4100
2018-11-27;3;1.6;-2.9;-5.1;4;0;0
2018-11-28;1.8;0.9;-0.8;-3.2;7;0.3;4633
2018-11-29;4.7;2.4;0.3;0;6;2.8;0
2018-11-30;6.2;4.4;3.5;2.4;5;0;1
2018-12-01;8.7;6.4;2.4;-1.3;4;0.1;0
2018-12-02;11.3;8;6.1;5.7;5;8;0
2018-12-03;12.5;10.8;6.8;6.2;6;13;1
2018-12-04;7.1;5.2;1;-2.5;6;0;5750
2018-12-05;4.3;2.2;-0.4;-4.3;4;0.2;5750
2018-12-06;10.6;6.2;2.8;2.3;5;1;0
2018-12-07;11.2;10.5;6.7;5.8;7;8.4;0
2018-12-08;8.6;7.2;5.8;4.7;7;14.1;0
2018-12-09;8.1;6.5;5.1;3.4;7;1;1217
2018-12-10;5.7;4.6;3.7;1.6;7;0.2;2517
2018-12-11;5.3;4.3;2.7;0.7;5;0.5;0
2018-12-12;5.2;3.8;0.5;-1.5;5;0.1;0
2018-12-13;3.4;2;0.7;-1.9;4;0;1383
2018-12-14;1.4;0.7;-0.5;-1;3;0;0
2018-12-15;0.8;-0.4;-2.4;-4.7;5;0;1117
2018-12-16;0.3;-0.4;-1.7;-3.2;6;0;0
2018-12-17;2.7;0.6;-1;-1.3;3;1.1;0
2018-12-18;6;4.4;2.2;0.8;4;0.1;0
2018-12-19;4;2.7;1.5;0.4;5;0;0
2018-12-20;6.1;4.5;3;1.3;4;0.5;0
2018-12-21;10;6.6;5.2;4.3;7;8.5;0
2018-12-22;7.2;5.4;4.2;1.8;7;1;0
2018-12-23;7.5;6.2;3.7;3.6;5;6;0
2018-12-24;3.9;2.1;-0.1;-1.5;5;0;0
2018-12-25;7.2;5.7;3.7;2;6;0;0
2018-12-26;8.5;7;5.6;5.3;5;0.3;0
2018-12-27;7.2;6.4;5.7;5.6;5;0.5;0
2018-12-28;7.7;7.2;6.3;5.7;5;0.4;0
2018-12-29;8.4;7.4;6.5;6.1;5;3.3;0
2018-12-30;8.4;6.4;3.4;-0.1;7;0;3650
2018-12-31;8.6;7.1;5.2;4.8;6;0.7;0
2019-01-01;8.3;6.4;4;2.1;9;0.5;1133
2019-01-02;4.6;2.9;-2;-5.7;8;0;4917
2019-01-03;2.6;-1.1;-4.3;-8.4;3;0;3450
2019-01-04;7.2;4;-1.8;-4.7;6;1.1;0
2019-01-05;9;6.9;1.1;-2.7;5;0;1300
2019-01-06;6.1;2.7;-2.3;-4.8;3;1.3;0
2019-01-07;7.7;6.3;5.4;4.5;6;8.2;0
2019-01-08;7.7;5.5;2.3;1.7;8;6.6;0
2019-01-09;3.2;2.2;0.8;0.1;7;1.2;0
2019-01-10;2.8;1;-0.9;-2.7;4;0.9;0
2019-01-11;7.8;4.7;1;0.9;5;0;0
2019-01-12;6.7;5.7;3.4;1.5;6;3.7;0
2019-01-13;8.5;6.7;4.3;3.4;7;5.1;0
2019-01-14;4.3;2.3;0.9;-1.3;7;0.1;4217
2019-01-15;7.6;5.4;3.1;1.5;7;4;0
2019-01-16;8;6.6;4.4;3.9;6;2.7;0
2019-01-17;6.4;3.8;-1.4;-2.5;6;6.5;0
2019-01-18;2.1;-1.2;-6.8;-5.7;4;0;4833
2019-01-19;2.5;-2;-7.5;-10.4;3;0;6317
2019-01-20;-3.3;-5.1;-8.1;-10.5;3;0;0
2019-01-21;-0.5;-3.1;-5.5;-6.6;4;0.1;0
2019-01-22;0.3;-1.4;-3.4;-5.3;5;0;4450
2019-01-23;-3.2;-5.8;-10.2;-13.6;4;0;1
2019-01-24;-3.3;-4.6;-6.5;-6.5;4;0;0
2019-01-25;-2.7;-3.6;-4.4;-5.2;4;0.8;0
2019-01-26;4.4;1.9;-3.3;-3.1;4;2.9;0
2019-01-27;5.4;4.6;3.5;2.8;4;3.1;0
2019-01-28;3.6;2.5;-0.8;-1.8;5;0.1;0
2019-01-29;3.5;0.1;-3.1;-5.9;4;0;1183
2019-01-30;2.8;0.3;-2.1;-4.5;5;0;5117
2019-01-31;3.8;0.5;-4.7;-7.3;4;0;1600
2019-02-01;0.2;-1.8;-5;-7.3;5;0;0
2019-02-02;2.2;0;-3.9;-7.3;4;0.8;0
2019-02-03;3.6;0.6;-3.9;-7.1;5;0;3217
2019-02-04;3.8;1.3;-3;-8.1;5;0.1;3000
2019-02-05;6.2;3.6;0.9;-0.8;5;0;0
2019-02-06;5.1;3.3;0.5;-1;4;6.8;0
2019-02-07;8.4;5.6;3.4;2.5;6;0.4;0
2019-02-08;8.3;6.8;5.6;4.7;5;2;0
2019-02-09;10;7.8;6.3;5;7;0.8;1517
2019-02-10;8.3;6;1.5;1.2;6;12;0
2019-02-11;8;4.9;2.1;0.6;6;0;4533
2019-02-12;7.5;4.4;2;0.3;5;0;5567
2019-02-13;8;7.2;5.9;5.6;6;0.1;0
2019-02-14;11.9;6.3;-1.3;-5;4;0;4917
2019-02-15;14.6;4.7;-3.4;-7;3;0;8700
2019-02-16;13.8;6.4;-1.5;-5;5;0;7700
2019-02-17;13.1;8.6;4;-2;4;0;5383
2019-02-18;14.3;6.1;-1.1;-5.4;3;0.1;8700
2019-02-19;9.6;6.4;1.6;-1.9;6;0.7;1
2019-02-20;9.7;7.6;5.9;5.3;5;0.6;1
2019-02-21;9.8;8;7;5.7;5;0.9;0
2019-02-22;7.4;3.6;-1.3;-3.6;5;0;5400
2019-02-23;6.7;2.1;-2.1;-5.4;4;0;5500
2019-02-24;13.9;4.4;-3.5;-6.3;3;0;9283
2019-02-25;14.3;4.4;-4.2;-7.6;4;0;8983
2019-02-26;14.6;6;-0.6;-5.1;4;0;8800
2019-02-27;17.1;6.6;-2.7;-6.8;4;0;9300
2019-02-28;7.7;5.6;3.4;1.1;5;0;0
2019-03-01;6.3;4.4;3.1;2;4;0;0
2019-03-02;6.9;4.8;3.1;2.4;4;0.1;0
2019-03-03;10.7;9.2;6.6;5.7;6;3.9;0
2019-03-04;12.1;8.6;5.9;4.9;8;6;1367
2019-03-05;7.4;5.6;1.6;-3.2;8;0.3;1433
2019-03-06;10.4;6;0.5;-2;5;2.1;0
2019-03-07;13.8;9.5;6.7;5;7;3.6;1700
2019-03-08;9.4;6.5;4;1.9;8;4;5000
2019-03-09;8.9;5.9;2.2;1;8;9.3;1283
2019-03-10;9;5.2;3;1.7;7;0.9;3033
2019-03-11;5.8;2.5;0.3;-2.3;6;6.5;1
2019-03-12;7.5;4.5;-1.4;-5.4;6;1;1
2019-03-13;7.2;5.9;4.3;3.1;7;3;0
2019-03-14;6.7;5.8;5.2;4;7;5;0
2019-03-15;9.8;6.9;5.4;4.6;8;2.2;0
2019-03-16;9.9;6.9;4.7;4.4;6;5.9;0
2019-03-17;10.3;7.6;4.5;3.1;6;2.5;1617
2019-03-18;8.1;5.1;2.6;1;8;2.2;3167
2019-03-19;9.7;4.7;-0.9;-4.9;5;0;7033
2019-03-20;10.2;6.5;-0.6;-5.1;5;0.2;1350
2019-03-21;11.7;9.8;8.5;7.5;5;0;0
2019-03-22;14.3;9.8;7.1;3.9;4;0;3733
2019-03-23;12.3;7.8;4.2;0.9;5;0;1967
2019-03-24;10.6;5.6;2.6;0.8;6;1.2;4600
2019-03-25;9;4.8;1.1;-2.6;6;2.9;3217
2019-03-26;9.5;6.2;2.8;1;6;0.6;1100
2019-03-27;9;7.7;5.9;4.8;5;1.6;0
2019-03-28;11.2;9.2;7.5;7.2;5;0;0
2019-03-29;15.2;10.1;2.9;-1.3;4;0;7050
2019-03-30;18.2;9.4;-0.6;-3.3;5;0;9883
2019-03-31;10;6;-1.7;-4.5;?;0;10500
2019-04-01;10.6;4.8;-3.9;-7.9;5;0;11983
2019-04-02;14.6;8.8;2;-0.8;5;0;8617
2019-04-03;11.5;9.4;4.3;1.9;4;1.2;0
2019-04-04;14.7;9.5;5.3;1.3;5;0;4750
2019-04-05;14.7;9;3.1;0.9;3;0;3650
2019-04-06;19.7;10.4;2.9;0.3;4;0;9150
2019-04-07;19.6;10.6;1.6;-1.9;4;0;10783
2019-04-08;10.5;6.3;0.6;-4.1;6;0;9117
2019-04-09;9;4.4;-0.5;-6.4;5;0;8750
2019-04-10;8.7;3.2;-4.2;-9;5;0;8200
2019-04-11;6.6;3.1;-2.3;-7.9;5;0;0
2019-04-12;7.7;3.3;-2.2;-6.1;6;0;6333
2019-04-13;7.2;3.3;0.7;-1;6;0;3083
2019-04-14;8.4;5.2;1.4;-0.4;6;0.1;0
2019-04-15;10.8;6.1;1.3;-1.1;5;0;12267
2019-04-16;14.8;7.4;0.7;-1.7;6;0;12117
2019-04-17;16.7;9.4;1.2;-2.6;5;0;12850
2019-04-18;16.6;9.5;2.3;-3.8;5;0;12917
2019-04-19;19.3;11;2.2;-2.5;5;0;12800
2019-04-20;17;9.3;0.2;-5.4;5;0;13150
2019-04-21;20.4;10.9;-1.1;-6;4;0;13233
2019-04-22;19.9;12.9;2.8;-2.5;6;0;13283
2019-04-23;20;14.6;8.5;6.5;7;0;11317
2019-04-24;23.6;16.5;10.9;8.7;5;0.1;8200
2019-04-25;23.3;17;10.6;5.9;5;0;13000
2019-04-26;19.1;13.8;9.7;7.5;6;3;3367
2019-04-27;19.5;12.8;8.5;8.4;6;3;6517
2019-04-28;10.1;8.2;6;4.2;5;3;1
2019-04-29;15.6;9.7;2.4;-1.7;6;1.5;7233
2019-04-30;20.2;11.3;0.4;-2.9;5;0;8217
2019-05-01;12.1;9.1;7.8;7.7;6;0;0
2019-05-02;10.6;8.6;4.4;2.6;6;0.9;0
2019-05-03;11.4;6.2;2.3;0.4;7;1.7;7367
2019-05-04;10.1;5.2;0.1;-3.5;6;0.1;9117
2019-05-05;13;6.1;-1.7;-5.6;5;0.1;8917
2019-05-06;12;6.3;1.3;-2.6;6;0.8;3667
2019-05-07;12.6;6.6;0.8;-2.3;5;0;10050
2019-05-08;15.7;9.5;1.1;-2.7;5;7.1;5133
2019-05-09;16.9;12;8.9;7.2;4;3.5;5250
2019-05-10;12.8;9.7;1.4;-1.7;6;0.5;3050
2019-05-11;13.9;7.9;-1.9;-3.6;5;0;11333
2019-05-12;15.4;9.3;2.5;-1.3;5;0;13833
2019-05-13;15.8;9.2;1.1;-4.3;5;0;13033
2019-05-14;14.5;8.9;2;-2.9;6;0;11833
2019-05-15;15.7;9.4;-0.2;-4.4;6;0;12750
2019-05-16;12.6;10.4;8.6;8.4;7;3.8;0
2019-05-17;17.6;11.9;9.3;9.2;5;0;2717
2019-05-18;22;15.4;9.6;6.7;5;3.3;7483
2019-05-19;18.4;13.1;10.2;10.5;5;0;7867
2019-05-20;20.2;14.1;10.7;11.1;5;0.1;2017
2019-05-21;16.3;15;12;11.9;5;15;0
2019-05-22;14.9;11.4;6.4;2;6;0;3317
2019-05-23;19.8;13.6;3.3;-0.7;4;0;12133
2019-05-24;21.8;14.9;7.2;3.1;6;0;11217
2019-05-25;16.2;12.4;8.5;6.5;6;0;1800
2019-05-26;19.2;13.5;8.2;6.8;6;9.1;0
2019-05-27;18;14.8;10.6;5.9;6;0;5783
2019-05-28;16.1;11.5;6.2;2.3;4;0;6100
2019-05-29;16;10.1;3.4;-2;4;0;9733
2019-05-30;17.9;13.9;7.5;4.4;5;1.1;1
2019-05-31;23;18;13.7;10.1;5;0;2750
2019-06-01;24.4;18.2;10.6;6.7;5;0;8717
2019-06-02;30.1;20.8;7.6;4.5;4;0;13733
2019-06-03;25;20.6;14.2;13.3;5;3.8;4017
2019-06-04;21.6;17;13.4;12.4;5;0.9;6733
2019-06-05;29.6;22.6;17.9;15.7;6;1.2;10167
2019-06-06;25.2;18.2;10.4;8.1;6;7.1;5517
2019-06-07;22.1;15.9;10.1;7.3;5;8.1;12867
2019-06-08;19.5;16.1;12.9;7.3;6;0;5183
2019-06-09;21.8;16.5;11.3;9.1;5;0.1;13483
2019-06-10;22.1;16.9;13.9;12.8;5;0.1;4900
2019-06-11;23.5;18.2;14.4;13.9;5;16.1;4467
2019-06-12;21.8;16.9;13.5;12.4;6;17.2;0
2019-06-13;23.4;17.2;12.2;9;5;2.2;7600
2019-06-14;27.1;19.1;11.2;7.8;5;2.2;9250
2019-06-15;22.5;18.1;14.7;13.2;6;29.8;1
2019-06-16;22.7;17.8;11.6;8.8;4;0.5;10867
2019-06-17;24.9;19.3;12.2;9;4;0;14300
2019-06-18;28.5;22.7;17.1;15.5;5;0;11917
2019-06-19;30.6;22.3;14.7;11.7;6;1.1;11433
2019-06-20;21.9;18.8;15.9;12.5;5;7.5;6250
2019-06-21;21.7;16.9;11.3;7.1;5;0;7600
2019-06-22;20.9;15.5;8.5;4.1;5;0;13950
2019-06-23;24.2;17.6;9.1;5.7;5;0;14483
2019-06-24;25.5;19.5;9.4;6.8;5;0;13950
2019-06-25;31.9;24.3;13.3;9;5;0;14233
2019-06-26;30.3;23;13.7;12.2;6;0;15067
2019-06-27;19.9;15.6;11.5;8.2;6;0;6450
2019-06-28;23.9;16.8;11;7.6;4;0;9317
2019-06-29;29;20.3;10.1;4.8;4;0;15650
2019-06-30;34.8;22.9;11.9;8.1;7;0;14583
2019-07-01;25;18.1;12.7;8.2;7;1.4;10117
2019-07-02;19;14.7;8.7;4.7;6;0.1;7883
2019-07-03;18.9;13.9;7.9;3.5;6;0;6150
2019-07-04;19.9;15;7.4;1.9;6;0.3;4150
2019-07-05;20.1;16;13.2;13;6;1.1;1183
2019-07-06;18.4;15.2;13.6;12.8;6;0.3;1417
2019-07-07;17.4;13.6;11.6;10.6;6;0;1
2019-07-08;17;13.8;10.8;9.6;6;0.1;2117
2019-07-09;19.8;14.1;9.7;6.9;5;0;4117
2019-07-10;21.8;15.3;9.6;7.1;5;0;6950
2019-07-11;20.6;16.6;10.5;9.2;4;?;0
2019-07-12;19.8;17;14.9;14.7;4;?;1
2019-07-13;23.3;17.6;14.4;13.6;5;?;4717
2019-07-14;17;14.9;13.3;13.1;4;?;0
2019-07-15;17.3;14.5;12.8;12.5;6;0;0
2019-07-16;21.5;16.1;11.8;9.8;6;0;6783
2019-07-17;20.2;15.1;10.1;6.4;3;0;4017
2019-07-18;25.5;18.1;8.4;5.9;4;0;8300
2019-07-19;24.7;18.7;12.2;8.7;5;0;6300
2019-07-20;29.5;19.3;10.8;7.7;8;9;7917
2019-07-21;23.7;18.6;12.3;8.9;6;0;9233
2019-07-22;20.2;16.6;11.1;6.3;5;1;1383
2019-07-23;29.9;22.4;13.4;10.6;4;0;14600
2019-07-24;31.6;23.8;14.2;11.6;4;0;14583
2019-07-25;34.5;25.4;16.2;14.1;5;0;12350
2019-07-26;30.1;22.9;14.1;10.6;6;0;14650
2019-07-27;28.3;21.9;16.7;14.9;7;0;12300
2019-07-28;27.8;21.8;17.2;15.5;5;0;9250
2019-07-29;28.2;21.3;17.2;14.3;5;7;2800
2019-07-30;21.6;17.8;13.6;11.6;4;4.6;1900
2019-07-31;23.9;18.1;14;11.6;6;21.4;3950
2019-08-01;24.1;18.4;12.2;10.6;4;0.1;7867
2019-08-02;23.7;17.9;12.3;10.8;4;0;5817
2019-08-03;24.4;17.9;12.3;9.8;5;1;5467
2019-08-04;21.2;17.1;12;9.4;4;0;1
2019-08-05;24.9;19.1;14.1;12.9;4;0;2833
2019-08-06;25.4;19.8;13.4;10.3;5;0;6950
2019-08-07;24;17.2;11.9;9.3;6;2.1;3917
2019-08-08;23.3;16.9;12.8;10.1;7;9.3;7550
2019-08-09;23.1;18;11.7;7.8;4;1.8;5667
2019-08-10;24.2;20.1;16.1;13.8;7;3;5167
2019-08-11;24.2;19.3;14.4;11.6;6;0;8833
2019-08-12;23.9;18;13.9;10.3;5;1.2;9850
2019-08-13;18.6;15;10.4;7.7;6;1.4;3400
2019-08-14;20.7;15.1;9.5;8.5;5;1.4;6850
2019-08-15;18.5;15.7;12.5;12;4;8.1;0
2019-08-16;21.2;17.5;15.1;12.8;5;0.4;3867
2019-08-17;21.1;17.8;15;13.7;5;6;1
2019-08-18;20;17.5;14.3;12.8;5;0.2;1050
2019-08-19;22;17.3;11.2;7.9;5;0;9000
2019-08-20;22.5;16.7;10.5;8;4;7.6;7733
2019-08-21;21.3;15.6;10;7.3;4;0;10000
2019-08-22;25.8;17.4;7.9;5.6;5;0;12833
2019-08-23;26.1;18.2;9.9;7;4;0;12433
2019-08-24;27.4;19.4;10.6;8;5;0;12900
2019-08-25;29.1;21.1;11.5;9.4;4;0;7650
2019-08-26;31.3;23.3;15.4;13.9;4;0;11767
2019-08-27;31.2;22.4;16.6;14.8;7;3.4;6417
2019-08-28;32.2;24.2;18.1;17;6;0;10817
2019-08-29;24.7;19.9;15;12.3;5;2.8;4033
2019-08-30;25.4;19.2;11.8;10.5;4;0;9883
2019-08-31;30.8;22;11.5;9.3;5;0;12467
2019-09-01;23.5;18.7;12;9.2;5;0;3267
2019-09-02;20.1;14.2;9.2;5.5;5;1.7;8950
2019-09-03;20.1;15.1;11.7;10.8;5;0.2;2467
2019-09-04;21;16.2;12.4;11.2;5;1;1317
2019-09-05;17.8;13.4;9;6.5;6;3.9;6517
2019-09-06;17.8;13.7;8.2;6.9;5;0;6567
2019-09-07;18.6;14;8.8;5.7;4;0.2;3667
2019-09-08;19.9;12.8;5.5;3.4;4;0;5867
2019-09-09;17.3;13.1;9.5;7.1;4;16.1;0
2019-09-10;18.3;14.4;12;11.6;6;0;2083
2019-09-11;20.6;14.9;9.2;8;5;1.8;7317
2019-09-12;21.3;16.3;12.2;8.5;5;1;5417
2019-09-13;19.4;15.8;8.3;4.1;5;2.8;5017
2019-09-14;18.7;12.1;5.2;2;4;0;9933
2019-09-15;18.8;13.5;9.9;6.8;6;1.2;1367
2019-09-16;16.2;11.9;7.8;4.3;5;0.6;3933
2019-09-17;13.9;11;7.3;5.5;7;3.2;3983
2019-09-18;15.3;11;7.2;5.4;6;0.3;5383
2019-09-19;15.5;10.9;6.1;2.2;5;0;9500
2019-09-20;16.3;12.1;6.4;3;4;0;0
2019-09-21;21.2;14.7;7.9;4;4;0;9350
2019-09-22;24.1;14.8;4.1;2.4;4;0;10983
2019-09-23;22.2;15.3;6.8;2.9;4;0;9883
2019-09-24;20.3;16.1;13.9;11.2;3;0;2233
2019-09-25;16;13.9;10.5;8.4;2;1.2;0
2019-09-26;17.6;14.6;11.5;9.5;4;8.7;0
2019-09-27;18.4;15.6;13.2;10.8;4;0.3;2117
2019-09-28;18.7;15.2;13.3;12;5;1.9;3700
2019-09-29;15.4;13.8;13.2;11.9;4;16.2;0
2019-09-30;15.8;13.6;10.9;10.1;8;7;2550
2019-10-01;11.8;10.2;7.4;5.9;5;10.9;0
2019-10-02;13.5;9.6;5.7;2.2;6;1.6;8350
2019-10-03;12.3;8.8;6.4;2.6;5;0.3;1050
2019-10-04;9.9;8.5;7.3;5.3;4;4.9;0
2019-10-05;12.4;8;1.7;-0.7;5;1.4;3300
2019-10-06;11;4.7;-0.9;-3.5;4;0;3700
2019-10-07;11.9;5.4;-2.2;-4.8;3;1.8;7117
2019-10-08;16.1;11.1;7.1;6.5;5;2.9;1017
2019-10-09;14.8;11.4;8.7;7.5;5;0.1;1267
2019-10-10;13.9;10.2;7.9;6.4;6;3;4317
2019-10-11;15.3;13.1;9.7;8.6;6;2.4;0
2019-10-12;16;12.6;10.5;10.3;6;2.5;0
2019-10-13;19.9;14.8;10.5;10.3;5;2.4;0
2019-10-14;16.9;14.6;11.5;10;6;0;4150
2019-10-15;20.6;14;8.4;6.1;3;5.6;6967
2019-10-16;14.8;12.7;8.8;6.5;4;6.2;1
2019-10-17;16.4;13.4;11.5;10.5;4;2.3;0
2019-10-18;17.6;13.4;9.9;8.4;6;3.4;2233
2019-10-19;15;12.1;8.2;6.9;5;1;1700
2019-10-20;14.5;11.6;9.2;7.7;5;13;0
2019-10-21;14.8;12.4;9.1;5.9;5;0.6;0
2019-10-22;14.5;11.5;9.1;6.2;4;0;1233
2019-10-23;14.2;11;8.1;5.3;4;0;3700
2019-10-24;14.2;12.4;9.2;6.4;5;0;0
2019-10-25;15.3;13.6;12.2;10.6;5;0;1533
2019-10-26;18.3;15.7;12.3;10.9;6;0.5;3783
2019-10-27;17.3;11.4;8;6.3;7;0.1;3717
2019-10-28;12.7;8;3.6;0.1;5;3.7;5600
2019-10-29;10.3;4;-1.6;-4.8;5;0;7117
2019-10-30;9.1;1.3;-3.7;-6.4;2;0;8417
2019-10-31;7.5;0;-4.4;-6.3;3;0;7567
2019-11-01;5.8;2.3;-3.5;-6.9;5;5.9;1217
2019-11-02;14.4;10;5.6;5.4;4;6.3;0
2019-11-03;13.6;10.1;6.9;4.6;3;1.4;1883
2019-11-04;11.7;9.5;5.1;3.8;5;8.4;0
2019-11-05;10.4;7.9;5.2;3.9;4;5.3;0
2019-11-06;7.6;6.3;4.3;3.1;3;1.8;0
2019-11-07;8.5;5.5;2.5;1.2;4;1.4;0
2019-11-08;8.9;5.7;2;0;3;0.3;3683
2019-11-09;7.7;4.8;0;-1.4;3;0.9;0
2019-11-10;7.9;3.2;-1.9;-4;3;0;7433
2019-11-11;3.3;1.5;-1.9;-4.2;5;0;0
2019-11-12;8;5.2;2.1;-1;5;0;2033
2019-11-13;6;3.8;0.5;-2;4;0;2267
2019-11-14;7.5;3.3;0.1;-3.4;4;0;6000
2019-11-15;7.4;4.9;1.7;0.1;6;0;0
2019-11-16;7.3;5.9;2.9;1.1;6;12.9;0
2019-11-17;8.1;4.1;-0.3;-2.6;5;0;0
2019-11-18;8.2;7.2;5.8;5.3;4;3.6;0
2019-11-19;8.9;6.6;3.8;1.2;6;0.8;0
2019-11-20;5;3.9;1;-1.7;3;2.2;0
2019-11-21;8.4;5.1;-0.8;-2.9;4;2.2;0
2019-11-22;8.5;7.1;5.9;4.8;4;0;0
2019-11-23;8.3;6.5;4.1;3;5;0;0
2019-11-24;4.8;4.2;3.6;3.7;5;0;0
2019-11-25;5.9;5;4.3;4.3;4;0.1;0
2019-11-26;7.7;6;4.8;4.7;4;0;0
2019-11-27;8.1;7.6;7;6;4;2;0
2019-11-28;10;8.8;6.6;5.3;6;4.9;0
2019-11-29;6.8;3.5;-2.7;-6.2;7;0;3950
2019-11-30;6.2;1.6;-3;-6.1;4;0;6417
2019-12-01;3;1.8;-0.2;-3.3;4;0.5;0
2019-12-02;6;3;-1;-3.7;4;0.1;2900
2019-12-03;7.1;3.8;-2.7;-5;5;0.3;0
2019-12-04;6.8;5.4;2.2;0.7;5;0;0
2019-12-05;5;2.3;-1.2;-4.5;5;0.1;6067
2019-12-06;7.7;5.5;2.3;1.8;6;4.8;0
2019-12-07;9.1;8.3;7.3;6.9;6;0.6;0
2019-12-08;10.4;8.4;5.6;4.3;7;2.5;0
2019-12-09;8;6.1;3.7;2;6;0.3;1
2019-12-10;6.1;3.3;0.8;-2.7;5;0.7;4267
2019-12-11;4.8;4.2;3.5;2.2;5;7.1;0
2019-12-12;5.1;4;2.4;0.7;4;0.4;0
2019-12-13;3.5;1.5;-1;-3.6;5;1.9;4817
2019-12-14;5.9;3.9;0.5;0;6;0.8;0
2019-12-15;9.2;6;2;0.6;8;1.5;3083
2019-12-16;7.3;5.7;3.6;1.3;4;0;0
2019-12-17;12.6;9.3;5.6;4.3;5;4.6;3183
2019-12-18;10.6;6.2;-0.2;-2.5;6;0;1333
2019-12-19;9.4;6.2;2.4;-1.1;5;0;5033
2019-12-20;9.7;7.1;4.3;3.6;6;1.9;2467
2019-12-21;9;6.8;3.5;1.3;4;0;5083
2019-12-22;4.8;3.4;1.8;-0.2;4;2.8;0
2019-12-23;8.1;6.7;4.8;4.3;5;0.9;0
2019-12-24;7;5.7;3.5;2;4;5.4;0
2019-12-25;6.2;4.8;3.7;2.4;4;1.6;0
2019-12-26;6.8;5;3.3;1.2;4;0.1;1
2019-12-27;3.6;2;-1.4;-4.8;4;0.4;0
2019-12-28;1.2;0.1;-1.6;-3.8;3;0;0
2019-12-29;3;0.1;-2.5;-5.2;4;0;0
2019-12-30;8.6;5.9;2.8;-0.1;6;0;2283
2019-12-31;8.2;5.2;1;-3;6;0;5133
2020-01-01;4.6;0.9;-5.3;-8.2;5;0;1300
2020-01-02;2.7;-0.4;-2.1;-2.1;4;0;3467
2020-01-03;7.9;5.3;2.7;2.1;5;6.6;0
2020-01-04;6.9;4.4;0.2;-3.1;7;4.6;1633
2020-01-05;5.9;2.4;-2;-5.9;4;0.2;0
2020-01-06;6.2;5;1.7;-0.7;4;0.9;0
2020-01-07;8;5.1;1;-0.4;5;0.1;0
2020-01-08;10.2;8.1;6.4;5.2;5;0.8;0
2020-01-09;11.2;9;4.8;3.1;5;8.6;0
2020-01-10;11.2;8.2;4.3;3.5;6;1.8;1
2020-01-11;6.2;4.4;1.6;-1.4;6;0;1500
2020-01-12;8.3;6.2;4.9;4.4;6;3.4;0
2020-01-13;7.7;5.7;3.9;1.9;5;1;1
2020-01-14;11.9;8.4;4.5;3.2;6;2.1;0
2020-01-15;13.8;11.5;5.8;4;6;0.7;4383
2020-01-16;8.3;6.1;4;0.7;5;0;4700
