Datum;Silvester_ext
2013-12-30;1
2013-12-31;1
2014-12-30;1
2014-12-31;1
2015-12-30;1
2015-12-31;1
2016-12-30;1
2016-12-31;1
2017-12-30;1
2017-12-31;1
2018-12-30;1
2018-12-31;1
2019-12-30;1
2019-12-31;1
