Datum;Wochentag;Umsatz
19.12.2015;Samstag;16
20.12.2015;Sonntag;22
21.12.2015;Montag;77
22.12.2015;Dienstag;20.5
23.12.2015;Mittwoch;34
25.12.2015;Freitag;0
26.12.2015;Samstag;16.5
27.12.2015;Sonntag;68.5
28.12.2015;Montag;32.5
29.12.2015;Dienstag;34
30.12.2015;Mittwoch;35.5
31.12.2015;Donnerstag;40.5
01.01.2016;Freitag;36
02.01.2016;Samstag;1800
03.01.2016;Sonntag;4817
04.01.2016;Montag;3739.5
05.01.2016;Dienstag;1840
06.01.2016;Mittwoch;1964
07.01.2016;Donnerstag;1548
08.01.2016;Freitag;836
09.01.2016;Samstag;877
10.01.2016;Sonntag;2231
11.01.2016;Montag;3713
12.01.2016;Dienstag;529
13.01.2016;Mittwoch;851.5
14.01.2016;Donnerstag;1242
15.01.2016;Freitag;2165.5
16.01.2016;Samstag;1363
17.01.2016;Sonntag;3139.5
18.01.2016;Montag;2387
19.01.2016;Dienstag;633.5
20.01.2016;Mittwoch;516
21.01.2016;Donnerstag;967
22.01.2016;Freitag;947
23.01.2016;Samstag;782.5
24.01.2016;Sonntag;2002.5
25.01.2016;Montag;3663
26.01.2016;Dienstag;332.5
27.01.2016;Mittwoch;1130
28.01.2016;Donnerstag;984.5
29.01.2016;Freitag;1536.5
30.01.2016;Samstag;1761.5
31.01.2016;Sonntag;4706
01.02.2016;Montag;3805
02.02.2016;Dienstag;1656.5
03.02.2016;Mittwoch;2128
04.02.2016;Donnerstag;1514.5
05.02.2016;Freitag;1254
06.02.2016;Samstag;2112.5
07.02.2016;Sonntag;3348
08.02.2016;Montag;3515.5
09.02.2016;Dienstag;1565
10.02.2016;Mittwoch;2211.5
11.02.2016;Donnerstag;1553
12.02.2016;Freitag;1415
13.02.2016;Samstag;1478.5
14.02.2016;Sonntag;3365.2
15.02.2016;Montag;4204.5
16.02.2016;Dienstag;906
17.02.2016;Mittwoch;1558.5
18.02.2016;Donnerstag;1259
19.02.2016;Freitag;1103.5
20.02.2016;Samstag;1533.5
21.02.2016;Sonntag;4008
22.02.2016;Montag;4191
23.02.2016;Dienstag;1481.5
24.02.2016;Mittwoch;1676
25.02.2016;Donnerstag;1662.5
26.02.2016;Freitag;2315.5
27.02.2016;Samstag;1901.5
28.02.2016;Sonntag;3083.5
29.02.2016;Montag;2753.5
01.03.2016;Dienstag;878.5
02.03.2016;Mittwoch;1306
03.03.2016;Donnerstag;1515
04.03.2016;Freitag;1460
05.03.2016;Samstag;865.5
06.03.2016;Sonntag;4002
07.03.2016;Montag;3693
08.03.2016;Dienstag;1496.5
09.03.2016;Mittwoch;1257.4
10.03.2016;Donnerstag;1451
11.03.2016;Freitag;1659
12.03.2016;Samstag;1764
13.03.2016;Sonntag;3913.5
14.03.2016;Montag;3303
15.03.2016;Dienstag;839
16.03.2016;Mittwoch;1678.5
17.03.2016;Donnerstag;1831.5
18.03.2016;Freitag;2467.5
19.03.2016;Samstag;1888
20.03.2016;Sonntag;2240.5
21.03.2016;Montag;4060
22.03.2016;Dienstag;2300
23.03.2016;Mittwoch;2821
24.03.2016;Donnerstag;1876
25.03.2016;Freitag;1201.5
26.03.2016;Samstag;5957.5
