Datum;Herbst
22.09.2013;1
23.09.2013;1
24.09.2013;1
25.09.2013;1
26.09.2013;1
27.09.2013;1
28.09.2013;1
29.09.2013;1
30.09.2013;1
01.10.2013;1
02.10.2013;1
03.10.2013;1
04.10.2013;1
05.10.2013;1
06.10.2013;1
07.10.2013;1
08.10.2013;1
09.10.2013;1
10.10.2013;1
11.10.2013;1
12.10.2013;1
13.10.2013;1
14.10.2013;1
15.10.2013;1
16.10.2013;1
17.10.2013;1
18.10.2013;1
19.10.2013;1
20.10.2013;1
21.10.2013;1
22.10.2013;1
23.10.2013;1
24.10.2013;1
25.10.2013;1
26.10.2013;1
27.10.2013;1
28.10.2013;1
29.10.2013;1
30.10.2013;1
31.10.2013;1
01.11.2013;1
02.11.2013;1
03.11.2013;1
04.11.2013;1
05.11.2013;1
06.11.2013;1
07.11.2013;1
08.11.2013;1
09.11.2013;1
10.11.2013;1
11.11.2013;1
12.11.2013;1
13.11.2013;1
14.11.2013;1
15.11.2013;1
16.11.2013;1
17.11.2013;1
18.11.2013;1
19.11.2013;1
20.11.2013;1
21.11.2013;1
22.11.2013;1
23.11.2013;1
24.11.2013;1
25.11.2013;1
26.11.2013;1
27.11.2013;1
28.11.2013;1
29.11.2013;1
30.11.2013;1
01.12.2013;1
02.12.2013;1
03.12.2013;1
04.12.2013;1
05.12.2013;1
06.12.2013;1
07.12.2013;1
08.12.2013;1
09.12.2013;1
10.12.2013;1
11.12.2013;1
12.12.2013;1
13.12.2013;1
14.12.2013;1
15.12.2013;1
16.12.2013;1
17.12.2013;1
18.12.2013;1
19.12.2013;1
20.12.2013;1
23.09.2014;1
24.09.2014;1
25.09.2014;1
26.09.2014;1
27.09.2014;1
28.09.2014;1
29.09.2014;1
30.09.2014;1
01.10.2014;1
02.10.2014;1
03.10.2014;1
04.10.2014;1
05.10.2014;1
06.10.2014;1
07.10.2014;1
08.10.2014;1
09.10.2014;1
10.10.2014;1
11.10.2014;1
12.10.2014;1
13.10.2014;1
14.10.2014;1
15.10.2014;1
16.10.2014;1
17.10.2014;1
18.10.2014;1
19.10.2014;1
20.10.2014;1
21.10.2014;1
22.10.2014;1
23.10.2014;1
24.10.2014;1
25.10.2014;1
26.10.2014;1
27.10.2014;1
28.10.2014;1
29.10.2014;1
30.10.2014;1
31.10.2014;1
01.11.2014;1
02.11.2014;1
03.11.2014;1
04.11.2014;1
05.11.2014;1
06.11.2014;1
07.11.2014;1
08.11.2014;1
09.11.2014;1
10.11.2014;1
11.11.2014;1
12.11.2014;1
13.11.2014;1
14.11.2014;1
15.11.2014;1
16.11.2014;1
17.11.2014;1
18.11.2014;1
19.11.2014;1
20.11.2014;1
21.11.2014;1
22.11.2014;1
23.11.2014;1
24.11.2014;1
25.11.2014;1
26.11.2014;1
27.11.2014;1
28.11.2014;1
29.11.2014;1
30.11.2014;1
01.12.2014;1
02.12.2014;1
03.12.2014;1
04.12.2014;1
05.12.2014;1
06.12.2014;1
07.12.2014;1
08.12.2014;1
09.12.2014;1
10.12.2014;1
11.12.2014;1
12.12.2014;1
13.12.2014;1
14.12.2014;1
15.12.2014;1
16.12.2014;1
17.12.2014;1
18.12.2014;1
19.12.2014;1
20.12.2014;1
21.12.2014;1
23.09.2015;1
24.09.2015;1
25.09.2015;1
26.09.2015;1
27.09.2015;1
28.09.2015;1
29.09.2015;1
30.09.2015;1
01.10.2015;1
02.10.2015;1
03.10.2015;1
04.10.2015;1
05.10.2015;1
06.10.2015;1
07.10.2015;1
08.10.2015;1
09.10.2015;1
10.10.2015;1
11.10.2015;1
12.10.2015;1
13.10.2015;1
14.10.2015;1
15.10.2015;1
16.10.2015;1
17.10.2015;1
18.10.2015;1
19.10.2015;1
20.10.2015;1
21.10.2015;1
22.10.2015;1
23.10.2015;1
24.10.2015;1
25.10.2015;1
26.10.2015;1
27.10.2015;1
28.10.2015;1
29.10.2015;1
30.10.2015;1
31.10.2015;1
01.11.2015;1
02.11.2015;1
03.11.2015;1
04.11.2015;1
05.11.2015;1
06.11.2015;1
07.11.2015;1
08.11.2015;1
09.11.2015;1
10.11.2015;1
11.11.2015;1
12.11.2015;1
13.11.2015;1
14.11.2015;1
15.11.2015;1
16.11.2015;1
17.11.2015;1
18.11.2015;1
19.11.2015;1
20.11.2015;1
21.11.2015;1
22.11.2015;1
23.11.2015;1
24.11.2015;1
25.11.2015;1
26.11.2015;1
27.11.2015;1
28.11.2015;1
29.11.2015;1
30.11.2015;1
01.12.2015;1
02.12.2015;1
03.12.2015;1
04.12.2015;1
05.12.2015;1
06.12.2015;1
07.12.2015;1
08.12.2015;1
09.12.2015;1
10.12.2015;1
11.12.2015;1
12.12.2015;1
13.12.2015;1
14.12.2015;1
15.12.2015;1
16.12.2015;1
17.12.2015;1
18.12.2015;1
19.12.2015;1
20.12.2015;1
21.12.2015;1
22.09.2016;1
23.09.2016;1
24.09.2016;1
25.09.2016;1
26.09.2016;1
27.09.2016;1
28.09.2016;1
29.09.2016;1
30.09.2016;1
01.10.2016;1
02.10.2016;1
03.10.2016;1
04.10.2016;1
05.10.2016;1
06.10.2016;1
07.10.2016;1
08.10.2016;1
09.10.2016;1
10.10.2016;1
11.10.2016;1
12.10.2016;1
13.10.2016;1
14.10.2016;1
15.10.2016;1
16.10.2016;1
17.10.2016;1
18.10.2016;1
19.10.2016;1
20.10.2016;1
21.10.2016;1
22.10.2016;1
23.10.2016;1
24.10.2016;1
25.10.2016;1
26.10.2016;1
27.10.2016;1
28.10.2016;1
29.10.2016;1
30.10.2016;1
31.10.2016;1
01.11.2016;1
02.11.2016;1
03.11.2016;1
04.11.2016;1
05.11.2016;1
06.11.2016;1
07.11.2016;1
08.11.2016;1
09.11.2016;1
10.11.2016;1
11.11.2016;1
12.11.2016;1
13.11.2016;1
14.11.2016;1
15.11.2016;1
16.11.2016;1
17.11.2016;1
18.11.2016;1
19.11.2016;1
20.11.2016;1
21.11.2016;1
22.11.2016;1
23.11.2016;1
24.11.2016;1
25.11.2016;1
26.11.2016;1
27.11.2016;1
28.11.2016;1
29.11.2016;1
30.11.2016;1
01.12.2016;1
02.12.2016;1
03.12.2016;1
04.12.2016;1
05.12.2016;1
06.12.2016;1
07.12.2016;1
08.12.2016;1
09.12.2016;1
10.12.2016;1
11.12.2016;1
12.12.2016;1
13.12.2016;1
14.12.2016;1
15.12.2016;1
16.12.2016;1
17.12.2016;1
18.12.2016;1
19.12.2016;1
20.12.2016;1
22.09.2017;1
23.09.2017;1
24.09.2017;1
25.09.2017;1
26.09.2017;1
27.09.2017;1
28.09.2017;1
29.09.2017;1
30.09.2017;1
01.10.2017;1
02.10.2017;1
03.10.2017;1
04.10.2017;1
05.10.2017;1
06.10.2017;1
07.10.2017;1
08.10.2017;1
09.10.2017;1
10.10.2017;1
11.10.2017;1
12.10.2017;1
13.10.2017;1
14.10.2017;1
15.10.2017;1
16.10.2017;1
17.10.2017;1
18.10.2017;1
19.10.2017;1
20.10.2017;1
21.10.2017;1
22.10.2017;1
23.10.2017;1
24.10.2017;1
25.10.2017;1
26.10.2017;1
27.10.2017;1
28.10.2017;1
29.10.2017;1
30.10.2017;1
31.10.2017;1
01.11.2017;1
02.11.2017;1
03.11.2017;1
04.11.2017;1
05.11.2017;1
06.11.2017;1
07.11.2017;1
08.11.2017;1
09.11.2017;1
10.11.2017;1
11.11.2017;1
12.11.2017;1
13.11.2017;1
14.11.2017;1
15.11.2017;1
16.11.2017;1
17.11.2017;1
18.11.2017;1
19.11.2017;1
20.11.2017;1
21.11.2017;1
22.11.2017;1
23.11.2017;1
24.11.2017;1
25.11.2017;1
26.11.2017;1
27.11.2017;1
28.11.2017;1
29.11.2017;1
30.11.2017;1
01.12.2017;1
02.12.2017;1
03.12.2017;1
04.12.2017;1
05.12.2017;1
06.12.2017;1
07.12.2017;1
08.12.2017;1
09.12.2017;1
10.12.2017;1
11.12.2017;1
12.12.2017;1
13.12.2017;1
14.12.2017;1
15.12.2017;1
16.12.2017;1
17.12.2017;1
18.12.2017;1
19.12.2017;1
20.12.2017;1
23.09.2018;1
24.09.2018;1
25.09.2018;1
26.09.2018;1
27.09.2018;1
28.09.2018;1
29.09.2018;1
30.09.2018;1
01.10.2018;1
02.10.2018;1
03.10.2018;1
04.10.2018;1
05.10.2018;1
06.10.2018;1
07.10.2018;1
08.10.2018;1
09.10.2018;1
10.10.2018;1
11.10.2018;1
12.10.2018;1
13.10.2018;1
14.10.2018;1
15.10.2018;1
16.10.2018;1
17.10.2018;1
18.10.2018;1
19.10.2018;1
20.10.2018;1
21.10.2018;1
22.10.2018;1
23.10.2018;1
24.10.2018;1
25.10.2018;1
26.10.2018;1
27.10.2018;1
28.10.2018;1
29.10.2018;1
30.10.2018;1
31.10.2018;1
01.11.2018;1
02.11.2018;1
03.11.2018;1
04.11.2018;1
05.11.2018;1
06.11.2018;1
07.11.2018;1
08.11.2018;1
09.11.2018;1
10.11.2018;1
11.11.2018;1
12.11.2018;1
13.11.2018;1
14.11.2018;1
15.11.2018;1
16.11.2018;1
17.11.2018;1
18.11.2018;1
19.11.2018;1
20.11.2018;1
21.11.2018;1
22.11.2018;1
23.11.2018;1
24.11.2018;1
25.11.2018;1
26.11.2018;1
27.11.2018;1
28.11.2018;1
29.11.2018;1
30.11.2018;1
01.12.2018;1
02.12.2018;1
03.12.2018;1
04.12.2018;1
05.12.2018;1
06.12.2018;1
07.12.2018;1
08.12.2018;1
09.12.2018;1
10.12.2018;1
11.12.2018;1
12.12.2018;1
13.12.2018;1
14.12.2018;1
15.12.2018;1
16.12.2018;1
17.12.2018;1
18.12.2018;1
19.12.2018;1
20.12.2018;1
23.09.2019;1
24.09.2019;1
25.09.2019;1
26.09.2019;1
27.09.2019;1
28.09.2019;1
29.09.2019;1
30.09.2019;1
01.10.2019;1
02.10.2019;1
03.10.2019;1
04.10.2019;1
05.10.2019;1
06.10.2019;1
07.10.2019;1
08.10.2019;1
09.10.2019;1
10.10.2019;1
11.10.2019;1
12.10.2019;1
13.10.2019;1
14.10.2019;1
15.10.2019;1
16.10.2019;1
17.10.2019;1
18.10.2019;1
19.10.2019;1
20.10.2019;1
21.10.2019;1
22.10.2019;1
23.10.2019;1
24.10.2019;1
25.10.2019;1
26.10.2019;1
27.10.2019;1
28.10.2019;1
29.10.2019;1
30.10.2019;1
31.10.2019;1
01.11.2019;1
02.11.2019;1
03.11.2019;1
04.11.2019;1
05.11.2019;1
06.11.2019;1
07.11.2019;1
08.11.2019;1
09.11.2019;1
10.11.2019;1
11.11.2019;1
12.11.2019;1
13.11.2019;1
14.11.2019;1
15.11.2019;1
16.11.2019;1
17.11.2019;1
18.11.2019;1
19.11.2019;1
20.11.2019;1
21.11.2019;1
22.11.2019;1
23.11.2019;1
24.11.2019;1
25.11.2019;1
26.11.2019;1
27.11.2019;1
28.11.2019;1
29.11.2019;1
30.11.2019;1
01.12.2019;1
02.12.2019;1
03.12.2019;1
04.12.2019;1
05.12.2019;1
06.12.2019;1
07.12.2019;1
08.12.2019;1
09.12.2019;1
10.12.2019;1
11.12.2019;1
12.12.2019;1
13.12.2019;1
14.12.2019;1
15.12.2019;1
16.12.2019;1
17.12.2019;1
18.12.2019;1
19.12.2019;1
20.12.2019;1
21.12.2019;1
