Datum;Fruehling
20.03.2014;1
21.03.2014;1
22.03.2014;1
23.03.2014;1
24.03.2014;1
25.03.2014;1
26.03.2014;1
27.03.2014;1
28.03.2014;1
29.03.2014;1
30.03.2014;1
31.03.2014;1
01.04.2014;1
02.04.2014;1
03.04.2014;1
04.04.2014;1
05.04.2014;1
06.04.2014;1
07.04.2014;1
08.04.2014;1
09.04.2014;1
10.04.2014;1
11.04.2014;1
12.04.2014;1
13.04.2014;1
14.04.2014;1
15.04.2014;1
16.04.2014;1
17.04.2014;1
18.04.2014;1
19.04.2014;1
20.04.2014;1
21.04.2014;1
22.04.2014;1
23.04.2014;1
24.04.2014;1
25.04.2014;1
26.04.2014;1
27.04.2014;1
28.04.2014;1
29.04.2014;1
30.04.2014;1
01.05.2014;1
02.05.2014;1
03.05.2014;1
04.05.2014;1
05.05.2014;1
06.05.2014;1
07.05.2014;1
08.05.2014;1
09.05.2014;1
10.05.2014;1
11.05.2014;1
12.05.2014;1
13.05.2014;1
14.05.2014;1
15.05.2014;1
16.05.2014;1
17.05.2014;1
18.05.2014;1
19.05.2014;1
20.05.2014;1
21.05.2014;1
22.05.2014;1
23.05.2014;1
24.05.2014;1
25.05.2014;1
26.05.2014;1
27.05.2014;1
28.05.2014;1
29.05.2014;1
30.05.2014;1
31.05.2014;1
01.06.2014;1
02.06.2014;1
03.06.2014;1
04.06.2014;1
05.06.2014;1
06.06.2014;1
07.06.2014;1
08.06.2014;1
09.06.2014;1
10.06.2014;1
11.06.2014;1
12.06.2014;1
13.06.2014;1
14.06.2014;1
15.06.2014;1
16.06.2014;1
17.06.2014;1
18.06.2014;1
19.06.2014;1
20.06.2014;1
20.03.2015;1
21.03.2015;1
22.03.2015;1
23.03.2015;1
24.03.2015;1
25.03.2015;1
26.03.2015;1
27.03.2015;1
28.03.2015;1
29.03.2015;1
30.03.2015;1
31.03.2015;1
01.04.2015;1
02.04.2015;1
03.04.2015;1
04.04.2015;1
05.04.2015;1
06.04.2015;1
07.04.2015;1
08.04.2015;1
09.04.2015;1
10.04.2015;1
11.04.2015;1
12.04.2015;1
13.04.2015;1
14.04.2015;1
15.04.2015;1
16.04.2015;1
17.04.2015;1
18.04.2015;1
19.04.2015;1
20.04.2015;1
21.04.2015;1
22.04.2015;1
23.04.2015;1
24.04.2015;1
25.04.2015;1
26.04.2015;1
27.04.2015;1
28.04.2015;1
29.04.2015;1
