Datum;Ostern_ext
02.04.2015;1
03.04.2015;1
04.04.2015;1
05.04.2015;1
06.04.2015;1
24.03.2016;1
25.03.2016;1
26.03.2016;1
27.03.2016;1
28.03.2016;1
13.04.2017;1
14.04.2017;1
15.04.2017;1
16.04.2017;1
17.04.2017;1
29.03.2018;1
30.03.2018;1
31.03.2018;1
01.04.2018;1
02.04.2018;1
18.04.2019;1
19.04.2019;1
20.04.2019;1
21.04.2019;1
22.04.2019;1
